symptom,organ
目赤,肺
目赤,腎
目赤,膽
目赤爛,脾
目赤爛,肺
目赤爛,胃
目乾澀,肝
目乾澀,脾
目乾澀,肺
目乾澀,腎
白睛生疳,脾
白睛生疳,肺
白睛生疳,胃
白睛魚胞,肝
白睛魚胞,脾
白睛魚胞,肺
白睛魚胞,腎
白睛溢血,肝
白睛溢血,肺
白睛溢血,膽
白睛溢血,小腸
白睛溢血,大腸
赤脈傳睛,腎
赤膜下垂,肝
赤膜下垂,脾
赤膜下垂,肺
赤膜下垂,膽
赤膜下垂,胃
胬肉攀睛,肝
胬肉攀睛,脾
胬肉攀睛,肺
胬肉攀睛,腎
胬肉攀睛,小腸
胬肉攀睛,胃
輪上赤豆,肝
輪上赤豆,脾
輪上赤豆,肺
輪上赤豆,膽
抱輪紅,肝
抱輪紅,脾
抱輪紅,肺
抱輪紅,腎
抱輪紅,膽
抱輪紅,胃
目生星翳,肝
目生星翳,脾
目生星翳,腎
目生星翳,胃
目生雲翳,腎
目生雲翳,胃
疳翳,肝
疳翳,脾
疳翳,腎
疳翳,胃
蟹睛,肝
蟹睛,腎
蟹睛,膽
黃液上衝,肝
黃液上衝,脾
黃液上衝,腎
黃液上衝,膽
黃液上衝,胃
目札,肝
目札,脾
目札,腎
目札,膽
目札,胃
目昏,肝
目昏,脾
目昏,腎
目昏,膽
目昏,胃
目珠自脹,肝
目珠自脹,脾
目視無神,肝
目視無神,脾
目視無神,腎
目視無神,膽
頭目脹痛,肝
頭目脹痛,脾
頭目脹痛,腎
頭目脹痛,膽
頭目脹痛,胃
目偏視,肝
目偏視,腎
瞳神散大,肝
瞳神散大,肺
瞳神散大,腎
瞳神散大,胃
血灌瞳神,肝
血灌瞳神,脾
血灌瞳神,腎
血灌瞳神,膽
血灌瞳神,胃
近視,肝
近視,腎
近視,膽
遠視,腎
行經目痛,肝
雲霧移睛,肝
雲霧移睛,脾
雲霧移睛,肺
雲霧移睛,腎
雲霧移睛,膽
雲霧移睛,胃
暴盲,肝
暴盲,腎
暴盲,膽
內障,肝
內障,脾
內障,腎
內障,胃
視物變形,肝
視物變形,脾
視物變形,腎
視物變形,胃
夜盲,肝
夜盲,脾
夜盲,腎
夜盲,胃
小兒青盲,肝
小兒青盲,脾
小兒青盲,肺
小兒青盲,腎
小兒青盲,膽
小兒青盲,胃
小兒青盲,膀胱
急性感染性多發性神經炎,肝
急性感染性多發性神經炎,脾
急性感染性多發性神經炎,肺
急性感染性多發性神經炎,腎
急性感染性多發性神經炎,胃
瀰漫性致纖維性肺泡炎,脾
瀰漫性致纖維性肺泡炎,肺
瀰漫性致纖維性肺泡炎,腎
瀰漫性致纖維性肺泡炎,膽
外源性變應性肺泡炎,脾
外源性變應性肺泡炎,肺
外源性變應性肺泡炎,腎
肺嗜酸粒細胞浸潤症,肺
肺嗜酸粒細胞浸潤症,膽
慢性胃炎,肝
慢性胃炎,脾
慢性胃炎,胃
潰瘍性結腸炎,肝
潰瘍性結腸炎,脾
潰瘍性結腸炎,腎
潰瘍性結腸炎,胃
潰瘍性結腸炎,大腸
克隆病,肝
克隆病,脾
克隆病,腎
克隆病,小腸
克隆病,胃
慢性活動性肝炎,肝
慢性活動性肝炎,脾
慢性活動性肝炎,腎
慢性活動性肝炎,膽
慢性活動性肝炎,胃
慢性腎小球腎炎,肝
慢性腎小球腎炎,脾
慢性腎小球腎炎,肺
慢性腎小球腎炎,腎
慢性腎小球腎炎,膽
急性腎小球腎炎,肝
急性腎小球腎炎,脾
急性腎小球腎炎,肺
急性腎小球腎炎,腎
急性腎小球腎炎,膽
急性腎小球腎炎,膀胱
腎病綜合症,肝
腎病綜合症,脾
腎病綜合症,肺
腎病綜合症,腎
腎病綜合症,胃
腎病綜合症,膀胱
急性播散性腦脊髓炎,肝
急性播散性腦脊髓炎,肺
急性播散性腦脊髓炎,腎
急性播散性腦脊髓炎,膽
特發性血小板減少性紫癜,脾
自身免疫性溶血性貧血,肝
自身免疫性溶血性貧血,脾
自身免疫性溶血性貧血,腎
自身免疫性溶血性貧血,膽
自身免疫性溶血性貧血,胃
自身免疫性白細胞減少症,肝
自身免疫性白細胞減少症,脾
自身免疫性白細胞減少症,肺
自身免疫性白細胞減少症,腎
自身免疫性白細胞減少症,胃
嗜酸粒細胞增多症,肝
嗜酸粒細胞增多症,脾
嗜酸粒細胞增多症,肺
嗜酸粒細胞增多症,腎
嗜酸粒細胞增多症,胃
甲狀腺功能亢進,肝
甲狀腺功能亢進,脾
甲狀腺功能亢進,腎
甲狀腺功能亢進,膽
甲狀腺功能亢進,胃
橋本甲狀腺炎,肝
橋本甲狀腺炎,脾
橋本甲狀腺炎,腎
糖尿病,肺
糖尿病,腎
糖尿病,胃
阿狄森病,肝
阿狄森病,脾
阿狄森病,腎
阿狄森病,胃
阿狄森病,膀胱
硬皮病,脾
硬皮病,肺
硬皮病,腎
紅斑狼瘡,肝
紅斑狼瘡,脾
紅斑狼瘡,肺
紅斑狼瘡,腎
紅斑狼瘡,膽
重症肌無力,肝
重症肌無力,脾
重症肌無力,腎
重症肌無力,膽
重症肌無力,胃
皮肌炎,肝
皮肌炎,脾
皮肌炎,肺
皮肌炎,腎
皮肌炎,胃
類風濕關節炎,肝
類風濕關節炎,脾
類風濕關節炎,腎
白塞病,肝
白塞病,脾
白塞病,腎
白塞病,膽
白塞病,胃
乾燥綜合症,肺
乾燥綜合症,胃
風濕熱,肝
風濕熱,腎
風濕熱,大腸
免疫缺陷病,肝
免疫缺陷病,脾
免疫缺陷病,肺
免疫缺陷病,腎
免疫缺陷病,胃
艾滋病,脾
艾滋病,肺
艾滋病,腎
艾滋病,胃
濕疹,脾
濕疹,腎
濕疹,膽
濕疹,胃
濕疹,膀胱
藥疹,脾
藥疹,肺
藥疹,胃
風濕性心瓣膜病,脾
風濕性心瓣膜病,肺
風濕性心瓣膜病,腎
天疱瘡,脾
天疱瘡,肺
天疱瘡,胃
結節性多動脈炎,肝
結節性多動脈炎,脾
結節性多動脈炎,肺
結節性多動脈炎,腎
多發性大動脈炎,腎
過敏性鼻炎,肺
慢性支氣管炎,脾
慢性支氣管炎,肺
慢性支氣管炎,腎
慢性支氣管炎,胃
支氣管哮喘,脾
支氣管哮喘,肺
支氣管哮喘,腎
支氣管哮喘,膽
石淋,肝
石淋,腎
石淋,膀胱
面部脫屑,肝
面部脫屑,脾
面部脫屑,腎
面部脫屑,胃
腹痛,肝
腹痛,膽
腹痛,胃
畏惡風寒,心
五心煩熱,心
自汗,心
盜汗,心
心胸汗出,心
發狂,心
癲,心
善驚,心
善悲,心
善恐,心
善憂思,心
言語錯亂,心
嗜睡,心
痴呆,心
健忘,心
多夢,心
不寐,心
少氣,心
頭暈,心
頭搖,心
腦鳴,心
鬚髮早白,心
面色青,心
口中生瘡,心
舌癢,心
舌裂,心
舌萎,心
舌腫,心
舌顫,心
弄舌,心
舌瘡,心
頸粗,心
四肢抽搐,心
手舞足蹈,心
手顫,心
咳痰,心
胸痛,心
胸悶,心
心悸,心
心下悸,心
惡心,心
吐血,心
氣從少腹上衝,心
大便膿血,心
早泄,心
遺精,心
陽萎,心
經行先後無定期,心
經前不寐,心
妊娠心煩,心
急驚,心
胎弱,心
小兒鵝口,心
小兒木舌,心
小兒重舌,心
小兒啼哭,心
皮膚粟疹,心
皮膚褐斑,心
咽喉白腐,心
目乾澀,心
赤脈傳睛,心
目昏,心
目珠自脹,心
目視無神,心
頭目脹痛,心
視物變形,心
瀰漫性致纖維性肺泡炎,心
慢性腎小球腎炎,心
自身免疫性溶血性貧血,心
自身免疫性白細胞減少症,心
甲狀腺功能亢進,心
阿狄森病,心
紅斑狼瘡,心
風濕熱,心
風濕性心瓣膜病,心
慢性支氣管炎,心
痛經,肝
痛經,脾
痛經,腎
痛經,胃
失眠,肝
失眠,脾
失眠,腎
失眠,膽
失眠,小腸
失眠,心
頻尿,肝
頻尿,脾
頻尿,肺
頻尿,腎
頻尿,膀胱
怕冷,脾
怕冷,腎
怕冷,胃
怕冷,心
目眩,肝
目眩,脾
目眩,腎
目眩,膽
目眩,胃
目眩,心
手腳冰冷,肝
手腳冰冷,脾
手腳冰冷,腎
手腳冰冷,膽
手腳冰冷,胃
黃痰,肝
黃痰,脾
黃痰,肺
黃痰,腎
黃痰,膽
黃痰,胃
黃痰,心
食慾不佳,肝
食慾不佳,脾
食慾不佳,腎
食慾不佳,胃
胸部出汗多,脾
胸部出汗多,腎
胸部出汗多,心
容易恐懼,肝
容易恐懼,腎
容易恐懼,膽
容易恐懼,胃
容易恐懼,心
面色發白,肝
面色發白,脾
面色發白,肺
面色發白,腎
面色發白,胃
